m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
222.8800	1	0						
222.9200	1	0						
222.9600	1	0						
223.0000	1	0						
223.0400	1	1.92e-4						
223.0800	1	0.00107						
223.1200	1	9.04e-4						
223.1600	1	3.36e-4						
223.2000	1	7.20e-5						
223.2400	1	0						
223.2800	1	0						
223.3200	1	0						
223.3600	1	0						
223.4000	1	0						
223.4400	1	0						
223.4800	1	0						
223.5200	1	0						
223.5600	1	0						
223.6000	1	0						
223.6400	1	0						
223.6800	1	0						
223.7200	1	0						
223.7600	1	0						
223.8000	1	0						
223.8400	1	0						
223.8800	1	0						
223.9200	1	0						
223.9600	1	0						
224.0000	1	0						
224.0400	1	0						
224.0800	1	0						
224.1200	1	0						
224.1600	1	0						
224.2000	1	0						
224.2400	1	0						
224.2800	1	0						
224.3200	1	0						
224.3600	1	0						
224.4000	1	0						
224.4400	1	0						
224.4800	1	0						
224.5200	1	0						
224.5600	1	0						
224.6000	1	0						
224.6400	1	0						
224.6800	1	0						
224.7200	1	9.00e-6						
224.7600	1	1.49e-4						
224.8000	1	3.32e-4						
224.8400	1	2.20e-4						
224.8800	1	7.90e-5						
224.9200	1	1.70e-5						
224.9600	1	0						
225.0000	1	0						
225.0400	1	0						
225.0800	1	0						
225.1200	1	0						
225.1600	1	0						
225.2000	1	0						
225.2400	1	0						
225.2800	1	0						
225.3200	1	0						
225.3600	1	0						
225.4000	1	0						
225.4400	1	0						
225.4800	1	0						
225.5200	1	0						
225.5600	1	0						
225.6000	1	0						
225.6400	1	0						
225.6800	1	0						
225.7200	1	0						
225.7600	1	0						
225.8000	1	0						
225.8400	1	1.15e-4						
225.8800	1	6.75e-4						
225.9200	1	0.00145						
225.9600	1	0.00102						
226.0000	1	3.67e-4						
226.0400	1	8.80e-5						
226.0800	1	3.00e-6						
226.1200	1	9.20e-5						
226.1600	1	1.96e-4						
226.2000	1	1.22e-4						
226.2400	1	4.30e-5						
226.2800	1	1.00e-5						
226.3200	1	0						
226.3600	1	0						
226.4000	1	0						
226.4400	1	0						
226.4800	1	0						
226.5200	1	0						
226.5600	1	0						
226.6000	1	0						
226.6400	1	0						
226.6800	1	0						
226.7200	1	0						
226.7600	1	0						
226.8000	1	0						
